Player,season,Pos,Age,G,MP,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,PER_next
Terry Rozier,2022,SG,27.0,73.0,2458.0,17.6,0.566,23.2,1.7,2.3,5.9,4.3,1.6,19.3,4.3,4.5,1.3,0.3,1.3,0.444,0.374,0.852,14.7
Terry Rozier,2023,SG,28.0,63.0,2221.0,14.7,0.517,26.9,-0.6,0.8,1.7,0.1,1.6,21.1,4.1,5.1,1.2,0.3,2.1,0.415,0.327,0.809,17.3
Terry Rozier,2024,SG,29.0,61.0,2040.0,17.3,0.555,25.9,1.5,1.8,3.9,2.3,1.6,19.8,4.0,5.6,1.0,0.3,1.7,0.443,0.363,0.869,10.5
Terry Taylor,2022,PF,22.0,33.0,714.0,19.0,0.656,15.9,-0.6,0.2,2.4,2.2,0.2,9.6,5.2,1.2,0.4,0.2,0.7,0.614,0.316,0.706,11.0
Terry Taylor,2023,PF,23.0,31.0,264.0,11.0,0.557,14.2,-4.1,-0.1,0.3,0.2,0.1,2.9,1.5,0.3,0.1,0.2,0.3,0.52,0.263,0.545,10.1
Thabo Sefolosha,2015,SF,30.0,52.0,976.0,13.8,0.506,14.6,1.0,0.8,2.5,0.8,1.7,5.3,4.3,1.4,1.0,0.4,0.7,0.418,0.321,0.776,12.4
Thabo Sefolosha,2016,SF,31.0,75.0,1758.0,12.4,0.578,12.3,0.8,1.3,4.5,1.3,3.2,6.4,4.5,1.4,1.1,0.5,0.9,0.505,0.341,0.626,11.9
Thabo Sefolosha,2017,SF,32.0,62.0,1596.0,11.9,0.519,13.3,0.4,1.0,3.3,0.6,2.7,7.2,4.4,1.7,1.5,0.5,0.9,0.441,0.342,0.733,15.8
Thabo Sefolosha,2018,SF,33.0,38.0,806.0,15.8,0.591,16.4,2.7,0.9,2.6,1.0,1.6,8.2,4.2,0.9,1.4,0.3,0.8,0.492,0.381,0.815,9.4
Thabo Sefolosha,2019,PF,35.0,41.0,436.0,9.4,0.487,10.4,-1.2,0.1,0.7,0.0,0.6,3.8,2.5,0.5,0.9,0.1,0.5,0.477,0.436,0.636,9.4
Thaddeus Young,2015,PF,26.0,76.0,2434.0,15.7,0.507,21.5,-0.1,1.1,3.1,1.6,1.4,14.1,5.4,2.3,1.6,0.3,1.5,0.466,0.33,0.655,17.5
Thaddeus Young,2016,PF,27.0,73.0,2407.0,17.5,0.533,21.6,0.0,1.2,4.1,1.9,2.2,15.1,9.0,1.9,1.5,0.5,1.9,0.514,0.233,0.644,14.9
Thaddeus Young,2017,PF,28.0,74.0,2237.0,14.9,0.562,16.4,0.5,1.4,4.6,2.0,2.7,11.0,6.1,1.6,1.5,0.4,1.3,0.527,0.381,0.523,14.8
Thaddeus Young,2018,PF,29.0,81.0,2607.0,14.8,0.528,17.3,0.2,1.4,5.5,2.3,3.2,11.8,6.3,1.9,1.7,0.4,1.3,0.487,0.32,0.598,13.3
Thaddeus Young,2019,PF,31.0,64.0,1591.0,13.3,0.521,19.7,-1.2,0.3,1.9,-0.2,2.1,12.6,6.5,2.5,1.5,0.4,1.5,0.527,0.349,0.644,13.3
Thaddeus Young,2020,PF,31.0,64.0,1591.0,13.3,0.521,19.7,-1.2,0.3,1.9,-0.2,2.1,10.3,4.9,1.8,1.4,0.4,1.6,0.448,0.356,0.583,20.3
Thaddeus Young,2021,PF,32.0,68.0,1652.0,20.3,0.578,22.3,3.3,2.2,5.1,2.8,2.2,12.1,6.2,4.3,1.1,0.6,2.0,0.559,0.267,0.628,17.0
Thaddeus Young,2022,PF,33.0,52.0,845.0,17.0,0.548,17.4,2.2,0.9,2.2,0.9,1.3,6.2,4.0,2.0,1.0,0.3,1.0,0.518,0.354,0.469,14.1
Thaddeus Young,2023,PF,34.0,54.0,795.0,14.1,0.573,13.5,0.1,0.4,1.8,0.7,1.1,4.4,3.1,1.4,1.0,0.1,0.8,0.545,0.176,0.692,15.9
Thanasis Antetokounmpo,2020,SF,27.0,20.0,129.0,12.2,0.496,21.6,-3.2,0.0,0.2,-0.1,0.2,2.8,1.2,0.8,0.4,0.1,0.6,0.5,0.0,0.412,10.3
Thanasis Antetokounmpo,2021,SF,28.0,57.0,551.0,10.3,0.523,15.3,-3.5,-0.2,0.7,0.0,0.6,2.9,2.2,0.8,0.4,0.2,0.8,0.489,0.241,0.51,12.5
Thanasis Antetokounmpo,2022,SF,29.0,48.0,473.0,12.5,0.577,15.7,-3.5,-0.2,0.9,0.4,0.5,3.6,2.1,0.5,0.3,0.3,0.5,0.547,0.143,0.63,6.7
Thanasis Antetokounmpo,2023,PF,30.0,37.0,206.0,6.7,0.458,13.8,-7.6,-0.3,0.1,-0.1,0.2,1.4,1.2,0.4,0.1,0.1,0.3,0.435,0.0,0.5,5.5
Theo Pinson,2019,SG,24.0,33.0,365.0,5.2,0.37,22.3,-7.0,-0.5,-0.6,-1.0,0.4,4.5,2.0,1.2,0.3,0.0,1.0,0.342,0.261,0.864,5.2
Theo Pinson,2020,SG,24.0,33.0,365.0,5.2,0.37,22.3,-7.0,-0.5,-0.6,-1.0,0.4,3.6,1.6,1.7,0.5,0.1,1.0,0.29,0.188,0.938,10.1
Thomas Bryant,2019,C,22.0,46.0,1147.0,21.1,0.649,18.9,2.2,1.2,3.9,3.1,0.8,10.5,6.3,1.3,0.3,0.9,0.8,0.616,0.333,0.781,21.1
Thomas Bryant,2020,C,22.0,46.0,1147.0,21.1,0.649,18.9,2.2,1.2,3.9,3.1,0.8,13.2,7.2,1.8,0.5,1.1,1.2,0.581,0.407,0.741,16.6
Thomas Bryant,2022,C,24.0,27.0,439.0,16.6,0.607,18.7,-1.0,0.1,1.1,0.7,0.4,7.4,4.0,0.9,0.2,0.8,0.7,0.52,0.286,0.875,19.7
Thomas Bryant,2023,C,25.0,59.0,1081.0,19.7,0.682,18.2,0.6,0.7,4.1,2.7,1.4,9.8,5.7,0.5,0.3,0.5,0.6,0.623,0.441,0.738,19.0
Thomas Bryant,2024,C,26.0,38.0,441.0,19.0,0.639,19.3,-0.4,0.2,1.6,0.9,0.8,5.7,3.7,0.6,0.3,0.4,0.6,0.577,0.182,0.872,17.2
Thomas Robinson,2015,PF,23.0,54.0,798.0,15.3,0.502,20.2,-2.0,0.0,1.5,0.0,1.4,5.7,5.6,0.6,0.6,0.4,1.1,0.485,0.0,0.528,14.5
Thomas Robinson,2016,PF,24.0,71.0,917.0,14.5,0.453,19.8,-3.8,-0.4,0.6,-0.5,1.1,4.3,5.1,0.6,0.5,0.5,1.0,0.447,0.0,0.431,17.3
Thon Maker,2017,C,19.0,57.0,562.0,14.0,0.558,17.8,-2.0,0.0,1.3,0.8,0.5,4.0,2.0,0.4,0.2,0.5,0.3,0.459,0.378,0.653,10.2
Thon Maker,2018,C,20.0,74.0,1238.0,10.2,0.499,14.6,-3.5,-0.5,1.5,0.3,1.1,4.8,3.0,0.6,0.5,0.7,0.6,0.411,0.298,0.699,13.7
Thon Maker,2019,C,22.0,60.0,776.0,13.7,0.582,16.1,-1.4,0.1,1.5,0.7,0.8,5.0,3.2,0.7,0.3,0.8,0.5,0.407,0.32,0.667,13.7
Théo Maledon,2021,PG,19.0,65.0,1778.0,8.2,0.489,19.4,-5.0,-1.3,-0.8,-1.9,1.1,10.1,3.2,3.5,0.9,0.2,2.2,0.368,0.335,0.748,10.6
Théo Maledon,2022,PG,20.0,51.0,908.0,10.6,0.5,20.3,-4.4,-0.6,0.3,-0.5,0.8,7.1,2.6,2.2,0.6,0.2,1.3,0.375,0.293,0.79,11.6
Tiago Splitter,2015,C,30.0,52.0,1030.0,18.9,0.601,18.4,2.3,1.1,4.0,2.3,1.7,8.2,4.8,1.5,0.7,0.7,1.2,0.558,,0.75,13.7
Tim Duncan,2015,C,38.0,77.0,2227.0,22.6,0.56,22.2,5.1,4.0,9.6,4.9,4.7,13.9,9.1,3.0,0.8,2.0,1.7,0.512,0.286,0.74,16.9
Tim Frazier,2016,PG,25.0,51.0,741.0,13.9,0.499,19.4,-2.0,0.0,1.0,0.4,0.5,5.1,2.2,3.2,0.6,0.0,1.3,0.419,0.333,0.716,12.4
Tim Frazier,2017,PG,26.0,65.0,1525.0,12.4,0.504,16.3,-2.7,-0.3,2.4,1.0,1.4,7.1,2.7,5.2,0.9,0.1,1.6,0.403,0.313,0.76,11.3
