Player,season,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,Age,G,MP,PER_next
Serge Ibaka,2019,17.3,0.583,24.0,0.1,0.8,3.9,1.2,2.7,15.0,8.1,1.3,0.4,1.4,1.5,30.0,55.0,1485.0,17.3
Serge Ibaka,2020,17.3,0.583,24.0,0.1,0.8,3.9,1.2,2.7,15.4,8.2,1.4,0.5,0.8,2.0,30.0,55.0,1485.0,18.2
Serge Ibaka,2021,18.2,0.585,20.1,1.4,0.8,3.0,1.7,1.3,11.1,6.7,1.8,0.2,1.1,1.1,31.0,41.0,955.0,14.4
Sergey Karasev,2015,10.5,0.508,14.4,-1.7,0.0,0.7,0.3,0.4,4.6,2.0,1.4,0.7,0.0,0.7,21.0,33.0,555.0,8.5
Seth Curry,2016,13.8,0.603,17.4,-0.2,0.3,1.4,1.2,0.2,6.8,1.4,1.5,0.5,0.1,0.8,25.0,44.0,692.0,15.5
Seth Curry,2017,15.5,0.601,19.5,1.2,1.7,4.6,2.9,1.7,12.8,2.6,2.7,1.1,0.1,1.3,26.0,70.0,2029.0,15.5
Seth Curry,2019,15.5,0.643,18.4,0.8,1.2,4.3,3.5,0.8,7.9,1.6,0.9,0.5,0.2,0.8,29.0,64.0,1576.0,15.5
Seth Curry,2020,15.5,0.643,18.4,0.8,1.2,4.3,3.5,0.8,12.4,2.3,1.9,0.6,0.1,1.0,29.0,64.0,1576.0,12.9
Seth Curry,2021,12.9,0.607,17.1,-0.3,0.7,4.0,2.3,1.7,12.5,2.4,2.7,0.8,0.1,1.1,30.0,57.0,1638.0,13.7
Seth Curry,2022,13.7,0.615,18.5,-0.6,0.8,4.2,2.7,1.5,15.0,3.1,3.6,0.8,0.2,1.7,31.0,64.0,2135.0,12.3
Seth Curry,2023,12.3,0.593,19.2,-2.1,0.0,1.8,0.9,0.9,9.2,1.6,1.6,0.6,0.1,0.8,32.0,61.0,1211.0,9.9
Seth Curry,2024,9.9,0.519,16.8,-3.3,-0.2,0.5,0.1,0.4,5.1,1.5,1.0,0.5,0.1,0.5,33.0,44.0,616.0,12.2
Shabazz Muhammad,2015,19.9,0.556,25.3,0.7,0.6,2.0,2.1,-0.1,13.5,4.1,1.2,0.5,0.2,0.9,22.0,38.0,866.0,15.2
Shabazz Muhammad,2016,15.2,0.548,22.8,-2.5,-0.2,2.7,2.6,0.2,10.5,3.3,0.6,0.3,0.1,0.9,23.0,82.0,1682.0,14.9
Shabazz Muhammad,2017,14.9,0.566,21.5,-2.4,-0.1,2.7,2.5,0.2,9.9,2.8,0.4,0.3,0.1,0.7,24.0,78.0,1516.0,15.4
Shabazz Napier,2015,9.3,0.517,15.5,-3.2,-0.3,0.5,-0.3,0.8,5.1,2.2,2.5,0.8,0.1,1.6,23.0,51.0,1012.0,9.6
Shabazz Napier,2016,9.6,0.46,19.7,-3.0,-0.2,0.1,-0.3,0.4,3.7,1.0,1.8,0.4,0.0,0.8,24.0,55.0,600.0,13.6
Shabazz Napier,2017,13.6,0.533,21.2,-0.4,0.2,0.6,0.1,0.5,4.1,1.2,1.3,0.6,0.0,0.8,25.0,53.0,512.0,14.2
Shabazz Napier,2018,14.2,0.544,19.5,0.7,1.0,3.2,1.2,2.0,8.7,2.3,2.0,1.1,0.2,1.2,26.0,74.0,1535.0,13.8
Shabazz Napier,2019,13.8,0.552,20.0,-1.1,0.3,1.7,0.8,0.9,9.4,1.8,2.6,0.7,0.3,1.2,28.0,56.0,1344.0,13.8
Shaedon Sharpe,2023,11.5,0.568,19.0,-3.3,-0.6,1.2,0.6,0.6,9.9,3.0,1.2,0.5,0.3,1.0,19.0,80.0,1779.0,11.4
Shaedon Sharpe,2024,11.4,0.524,22.4,-2.8,-0.2,0.5,-0.2,0.6,15.9,5.0,2.9,0.9,0.4,2.3,20.0,32.0,1059.0,14.5
Shai Gilgeous-Alexander,2019,17.7,0.568,23.7,1.7,2.2,6.1,3.1,3.0,10.8,2.8,3.3,1.2,0.5,1.7,21.0,70.0,2428.0,17.7
Shai Gilgeous-Alexander,2020,17.7,0.568,23.7,1.7,2.2,6.1,3.1,3.0,19.0,5.9,3.3,1.1,0.7,1.9,21.0,70.0,2428.0,21.6
Shai Gilgeous-Alexander,2021,21.6,0.623,27.8,4.1,1.8,3.5,2.7,0.8,23.7,4.7,5.9,0.8,0.7,3.0,22.0,35.0,1180.0,20.9
Shai Gilgeous-Alexander,2022,20.9,0.557,30.8,3.4,2.7,4.6,2.8,1.8,24.5,5.0,5.9,1.3,0.8,2.8,23.0,56.0,1942.0,27.2
Shai Gilgeous-Alexander,2023,27.2,0.626,32.8,7.3,5.6,11.4,8.4,3.0,31.4,4.8,5.5,1.6,1.0,2.8,24.0,68.0,2416.0,29.3
Shai Gilgeous-Alexander,2024,29.3,0.636,32.8,9.0,7.1,14.6,10.5,4.2,30.1,5.5,6.2,2.0,0.9,2.2,25.0,75.0,2553.0,30.7
Shake Milton,2019,14.4,0.617,18.9,-1.0,0.2,2.1,1.4,0.7,4.4,1.8,0.9,0.4,0.4,0.3,23.0,40.0,805.0,14.4
Shake Milton,2020,14.4,0.617,18.9,-1.0,0.2,2.1,1.4,0.7,9.4,2.2,2.6,0.5,0.2,1.2,23.0,40.0,805.0,14.6
Shake Milton,2021,14.6,0.549,24.9,-1.6,0.1,2.8,1.1,1.6,13.0,2.3,3.1,0.6,0.3,1.6,24.0,63.0,1461.0,11.9
Shake Milton,2022,11.9,0.517,18.3,-2.2,-0.1,1.7,0.7,1.0,8.2,2.6,2.5,0.5,0.3,0.8,25.0,55.0,1179.0,12.7
Shake Milton,2023,12.7,0.575,18.5,-2.0,0.0,2.9,1.6,1.2,8.4,2.5,3.2,0.3,0.2,1.2,26.0,76.0,1567.0,9.2
Shake Milton,2024,9.2,0.499,18.7,-3.7,-0.3,0.6,-0.2,0.8,4.5,1.6,1.3,0.4,0.1,0.6,27.0,48.0,581.0,11.9
Shane Larkin,2015,10.9,0.504,13.6,-2.8,-0.4,1.7,0.8,0.9,6.2,2.3,3.0,1.2,0.1,1.1,22.0,76.0,1865.0,13.3
Shane Larkin,2016,13.3,0.515,17.7,-2.0,0.0,1.4,0.5,1.0,7.3,2.3,4.4,1.2,0.2,1.9,23.0,78.0,1751.0,10.3
Shaquille Harrison,2018,15.6,0.54,18.0,-0.7,0.1,0.8,0.4,0.4,6.6,2.7,2.4,1.1,0.3,1.0,24.0,23.0,384.0,17.8
Shaquille Harrison,2019,17.8,0.559,18.1,2.8,0.6,1.5,0.7,0.8,6.5,3.0,1.9,1.2,0.4,0.8,26.0,43.0,484.0,17.8
Shaquille Harrison,2020,17.8,0.559,18.1,2.8,0.6,1.5,0.7,0.8,4.9,2.0,1.1,0.8,0.4,0.4,26.0,43.0,484.0,6.8
Shaun Livingston,2015,12.9,0.529,15.9,-0.8,0.4,3.3,1.5,1.8,5.9,2.3,3.3,0.6,0.3,1.3,29.0,78.0,1468.0,13.8
Shaun Livingston,2016,13.8,0.581,14.2,0.3,0.9,4.6,2.9,1.7,6.3,2.2,3.0,0.7,0.3,1.0,30.0,78.0,1520.0,10.1
Shaun Livingston,2017,10.1,0.568,13.0,-2.5,-0.2,2.6,1.1,1.6,5.1,2.0,1.8,0.5,0.3,0.8,31.0,76.0,1345.0,11.6
Shelvin Mack,2015,13.2,0.489,19.5,-1.7,0.1,1.3,0.5,0.8,5.4,1.4,2.8,0.5,0.0,0.9,24.0,55.0,833.0,13.6
Shelvin Mack,2016,13.6,0.507,23.3,-1.6,0.1,1.3,0.2,1.2,8.6,2.5,3.6,0.7,0.1,1.8,25.0,52.0,1058.0,10.9
Shelvin Mack,2017,10.9,0.518,19.6,-2.3,-0.1,1.4,-0.1,1.5,7.8,2.3,2.8,0.8,0.1,1.6,26.0,55.0,1205.0,13.3
Simone Fontecchio,2023,8.0,0.495,20.2,-5.2,-0.6,-0.1,-0.4,0.3,6.3,1.7,0.8,0.3,0.2,0.8,27.0,52.0,766.0,12.1
Simone Fontecchio,2024,12.1,0.6,16.5,-1.0,0.4,2.1,1.5,0.6,10.5,3.7,1.5,0.7,0.3,1.0,28.0,66.0,1644.0,9.7
Sindarius Thornwell,2018,8.2,0.519,12.1,-2.4,-0.1,1.0,0.1,0.9,3.9,1.9,0.9,0.7,0.3,0.7,23.0,73.0,1156.0,6.6
Skal Labissière,2017,16.8,0.577,21.3,-2.3,0.0,1.3,0.7,0.5,8.8,4.9,0.8,0.5,0.4,1.1,20.0,33.0,612.0,14.3
Skal Labissière,2018,14.3,0.513,21.1,-2.7,-0.2,1.4,0.4,1.0,8.7,4.8,1.2,0.4,0.8,1.2,21.0,60.0,1240.0,15.4
Skal Labissière,2019,15.4,0.588,14.3,-1.3,0.1,1.4,1.0,0.4,3.0,2.0,0.5,0.2,0.3,0.5,23.0,33.0,567.0,15.4
Skylar Mays,2021,16.8,0.569,19.1,1.9,0.3,0.8,0.5,0.3,3.8,1.1,0.9,0.4,0.1,0.3,23.0,33.0,269.0,11.7
Skylar Mays,2022,11.7,0.589,15.5,-2.0,0.0,0.3,0.2,0.1,2.9,0.9,0.6,0.3,0.0,0.4,24.0,28.0,220.0,12.0
Solomon Hill,2015,10.2,0.507,15.9,-1.5,0.3,3.5,0.9,2.6,8.9,3.8,2.2,0.8,0.2,1.4,23.0,82.0,2381.0,12.2
Solomon Hill,2016,12.2,0.543,13.2,0.1,0.5,2.1,0.8,1.3,4.2,2.8,1.0,0.6,0.2,0.6,24.0,59.0,866.0,8.0
Solomon Hill,2017,8.0,0.527,11.5,-2.7,-0.4,2.7,0.4,2.3,7.0,3.8,1.8,0.9,0.4,1.0,25.0,80.0,2374.0,9.8
Solomon Hill,2019,9.8,0.535,13.6,-1.7,0.1,1.4,0.4,1.1,4.3,3.0,1.3,0.5,0.2,0.7,28.0,59.0,1088.0,9.8
Solomon Hill,2020,9.8,0.535,13.6,-1.7,0.1,1.4,0.4,1.1,5.5,2.8,1.8,0.7,0.2,0.9,28.0,59.0,1088.0,6.7
Spencer Dinwiddie,2015,10.2,0.394,21.1,-2.8,-0.1,0.1,-0.3,0.4,4.3,1.4,3.1,0.6,0.2,1.0,21.0,34.0,455.0,12.7
Spencer Dinwiddie,2017,12.7,0.581,14.1,-1.0,0.4,2.8,1.9,0.9,7.3,2.8,3.1,0.7,0.4,1.1,23.0,59.0,1334.0,15.9
Spencer Dinwiddie,2018,15.9,0.527,20.3,0.6,1.5,5.7,4.3,1.4,12.6,3.2,6.6,0.9,0.3,1.6,24.0,80.0,2306.0,17.8
Spencer Dinwiddie,2019,17.8,0.541,29.2,1.8,1.9,4.8,3.2,1.6,16.8,2.4,4.6,0.6,0.3,2.2,26.0,64.0,1994.0,17.8
Spencer Dinwiddie,2020,17.8,0.541,29.2,1.8,1.9,4.8,3.2,1.6,20.6,3.5,6.8,0.6,0.3,2.7,26.0,64.0,1994.0,15.1
Spencer Dinwiddie,2022,15.1,0.543,21.4,0.3,1.1,4.1,2.7,1.4,13.7,4.2,5.2,0.7,0.2,1.6,28.0,67.0,1980.0,16.0
Spencer Dinwiddie,2023,16.0,0.573,22.1,0.7,1.8,6.3,4.5,1.8,17.3,3.4,6.5,0.8,0.3,1.8,29.0,79.0,2725.0,11.7
Spencer Dinwiddie,2024,11.7,0.543,16.6,-1.9,0.1,3.6,2.3,1.3,10.5,2.7,4.7,0.7,0.3,1.2,30.0,76.0,2152.0,13.0
Spencer Hawes,2015,9.8,0.478,17.9,-2.3,-0.1,1.2,-0.3,1.5,5.8,3.5,1.2,0.3,0.7,0.8,26.0,73.0,1274.0,12.4
Spencer Hawes,2016,12.4,0.508,17.1,-0.6,0.3,1.9,0.6,1.4,6.0,4.3,1.9,0.4,0.5,1.0,27.0,57.0,1035.0,15.6
Stanley Johnson,2016,8.7,0.46,19.6,-3.3,-0.5,0.6,-1.3,1.9,8.1,4.2,1.6,0.8,0.2,1.6,19.0,73.0,1687.0,7.2
Stanley Johnson,2017,7.2,0.436,14.8,-3.0,-0.3,0.4,-1.4,1.8,4.4,2.5,1.4,0.7,0.3,0.9,20.0,77.0,1371.0,9.0
Stanley Johnson,2018,9.0,0.48,16.4,-2.9,-0.4,1.8,-0.6,2.4,8.7,3.7,1.6,1.4,0.2,1.1,21.0,69.0,1894.0,9.9
Stanley Johnson,2019,9.9,0.454,23.1,-2.5,0.0,0.0,-0.3,0.3,6.9,3.3,1.3,0.9,0.2,1.2,23.0,25.0,150.0,9.9
Stanley Johnson,2020,9.9,0.454,23.1,-2.5,0.0,0.0,-0.3,0.3,2.4,1.5,0.8,0.2,0.2,0.6,23.0,25.0,150.0,8.8
Stanley Johnson,2021,8.8,0.519,13.4,-2.5,-0.1,1.0,-0.1,1.1,4.4,2.5,1.5,0.9,0.3,0.9,24.0,61.0,1006.0,10.5
Stanley Johnson,2022,10.5,0.564,12.5,-2.7,-0.2,1.8,0.9,0.9,6.7,3.2,1.7,0.9,0.3,0.7,25.0,48.0,1094.0,13.5
Stanley Umude,2024,11.4,0.647,15.6,-1.6,0.0,0.5,0.3,0.2,5.3,2.1,0.5,0.3,0.3,0.6,24.0,24.0,307.0,3.4
Stephen Curry,2015,28.0,0.638,28.9,9.9,7.9,15.7,11.5,4.1,23.8,4.3,7.7,2.0,0.2,3.1,26.0,80.0,2613.0,31.5
Stephen Curry,2016,31.5,0.669,32.6,11.9,9.5,17.9,13.8,4.1,30.1,5.4,6.7,2.1,0.2,3.3,27.0,79.0,2700.0,24.6
Stephen Curry,2017,24.6,0.624,30.1,6.9,5.9,12.6,8.7,3.9,25.3,4.5,6.6,1.8,0.2,3.0,28.0,79.0,2638.0,28.2
Stephen Curry,2018,28.2,0.675,31.0,7.7,4.0,9.1,7.2,1.8,26.4,5.1,6.1,1.6,0.2,3.0,29.0,51.0,1631.0,26.3
Stephen Curry,2021,26.3,0.655,34.8,8.7,5.8,9.0,6.5,2.5,32.0,5.5,5.8,1.2,0.1,3.4,32.0,63.0,2152.0,21.4
